Address,Point,Name,Value,Time,Custom
028,00,TRW Makeup Water,3,2019-08-01 16:27:02,34-CT Makeup
028,00,TRW Makeup Water,3,2019-08-01 17:28:12,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 18:56:32,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:13:14,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:22:59,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:38:41,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:41:36,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:47:07,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:52:50,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 19:56:56,72 TRW Water Meter
028,00,TRW Makeup Water,3,2019-08-01 20:08:26,72 TRW Water Meter
