Address,Point,Name,Value,Time,Custom
043,05,Pulse #2,260011,2019-08-01 17:23:34,70 Gas
043,05,Pulse #2,260011,2019-08-01 17:25:56,70 Gas
043,05,Pulse #2,260011,2019-08-01 17:45:13,70 Gas
043,05,Pulse #2,260011,2019-08-01 17:56:23,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:01:09,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:05:56,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:15:55,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:25:22,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:30:49,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:38:21,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:40:39,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:49:34,70 Gas
043,05,Pulse #2,260011,2019-08-01 18:55:52,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:00:39,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:10:39,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:15:41,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:20:37,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:31:58,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:35:35,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:41:00,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:45:48,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:52:26,70 Gas
043,05,Pulse #2,260011,2019-08-01 19:56:10,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:00:56,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:05:50,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:18:31,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:27:42,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:36:16,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:42:31,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:45:41,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:52:08,70 Gas
043,05,Pulse #2,260011,2019-08-01 20:56:15,70 Gas
043,05,Pulse #2,260011,2019-08-01 21:04:45,70 Gas
043,05,Pulse #2,260011,2019-08-01 21:10:35,70 Gas
043,05,Pulse #2,260011,2019-08-01 21:18:06,70 Gas
