Address,Point,Name,Value,Time
30,0,Pulse #1,0.0,2019-07-30 19:30:08
30,5,Pulse #2,0.0,2019-07-30 19:30:08
30,0,Pulse #1,0.0,2019-07-30 19:35:32
30,1,Pulse #1 Rate,0.0,2019-07-30 19:35:32
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 19:35:32
30,3,Pulse #1 Min,0.0,2019-07-30 19:35:32
30,4,Pulse #1 Max,0.0,2019-07-30 19:35:32
30,5,Pulse #2,0.0,2019-07-30 19:35:32
30,6,Pulse #2 Rate,0.0,2019-07-30 19:35:32
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 19:35:32
30,8,Pulse #2 Min,0.0,2019-07-30 19:35:32
30,9,Pulse #2 Max,0.0,2019-07-30 19:35:32
30,0,Pulse #1,0.0,2019-07-30 19:45:52
30,1,Pulse #1 Rate,0.0,2019-07-30 19:45:52
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 19:45:52
30,3,Pulse #1 Min,0.0,2019-07-30 19:45:52
30,4,Pulse #1 Max,0.0,2019-07-30 19:45:52
30,5,Pulse #2,0.0,2019-07-30 19:45:52
30,6,Pulse #2 Rate,0.0,2019-07-30 19:45:52
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 19:45:52
30,8,Pulse #2 Min,0.0,2019-07-30 19:45:52
30,9,Pulse #2 Max,0.0,2019-07-30 19:45:52
30,0,Pulse #1,0.0,2019-07-30 19:51:46
30,1,Pulse #1 Rate,0.0,2019-07-30 19:51:46
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 19:51:46
30,3,Pulse #1 Min,0.0,2019-07-30 19:51:46
30,4,Pulse #1 Max,0.0,2019-07-30 19:51:46
30,5,Pulse #2,0.0,2019-07-30 19:51:46
30,6,Pulse #2 Rate,0.0,2019-07-30 19:51:46
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 19:51:46
30,8,Pulse #2 Min,0.0,2019-07-30 19:51:46
30,9,Pulse #2 Max,0.0,2019-07-30 19:51:46
30,0,Pulse #1,0.0,2019-07-30 19:56:37
30,1,Pulse #1 Rate,0.0,2019-07-30 19:56:37
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 19:56:37
30,3,Pulse #1 Min,0.0,2019-07-30 19:56:37
30,4,Pulse #1 Max,0.0,2019-07-30 19:56:37
30,5,Pulse #2,0.0,2019-07-30 19:56:37
30,6,Pulse #2 Rate,0.0,2019-07-30 19:56:37
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 19:56:37
30,8,Pulse #2 Min,0.0,2019-07-30 19:56:37
30,9,Pulse #2 Max,0.0,2019-07-30 19:56:37
30,0,Pulse #1,0.0,2019-07-30 20:03:38
30,1,Pulse #1 Rate,0.0,2019-07-30 20:03:38
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:03:38
30,3,Pulse #1 Min,0.0,2019-07-30 20:03:38
30,4,Pulse #1 Max,0.0,2019-07-30 20:03:38
30,5,Pulse #2,0.0,2019-07-30 20:03:38
30,6,Pulse #2 Rate,0.0,2019-07-30 20:03:38
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:03:38
30,8,Pulse #2 Min,0.0,2019-07-30 20:03:38
30,9,Pulse #2 Max,0.0,2019-07-30 20:03:38
30,0,Pulse #1,0.0,2019-07-30 20:11:46
30,1,Pulse #1 Rate,0.0,2019-07-30 20:11:46
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:11:46
30,3,Pulse #1 Min,0.0,2019-07-30 20:11:46
30,4,Pulse #1 Max,0.0,2019-07-30 20:11:46
30,5,Pulse #2,0.0,2019-07-30 20:11:46
30,6,Pulse #2 Rate,0.0,2019-07-30 20:11:46
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:11:46
30,8,Pulse #2 Min,0.0,2019-07-30 20:11:46
30,9,Pulse #2 Max,0.0,2019-07-30 20:11:46
30,0,Pulse #1,0.0,2019-07-30 20:19:03
30,1,Pulse #1 Rate,0.0,2019-07-30 20:19:03
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:19:03
30,3,Pulse #1 Min,0.0,2019-07-30 20:19:03
30,4,Pulse #1 Max,0.0,2019-07-30 20:19:03
30,5,Pulse #2,0.0,2019-07-30 20:19:03
30,6,Pulse #2 Rate,0.0,2019-07-30 20:19:03
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:19:03
30,8,Pulse #2 Min,0.0,2019-07-30 20:19:03
30,9,Pulse #2 Max,0.0,2019-07-30 20:19:03
30,0,Pulse #1,0.0,2019-07-30 20:31:04
30,5,Pulse #2,0.0,2019-07-30 20:31:04
30,0,Pulse #1,0.0,2019-07-30 20:39:03
30,1,Pulse #1 Rate,0.0,2019-07-30 20:39:03
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:39:03
30,3,Pulse #1 Min,0.0,2019-07-30 20:39:03
30,4,Pulse #1 Max,0.0,2019-07-30 20:39:03
30,5,Pulse #2,0.0,2019-07-30 20:39:03
30,6,Pulse #2 Rate,0.0,2019-07-30 20:39:03
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:39:03
30,8,Pulse #2 Min,0.0,2019-07-30 20:39:03
30,9,Pulse #2 Max,0.0,2019-07-30 20:39:03
30,0,Pulse #1,0.0,2019-07-30 20:47:00
30,1,Pulse #1 Rate,0.0,2019-07-30 20:47:00
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:47:00
30,3,Pulse #1 Min,0.0,2019-07-30 20:47:00
30,4,Pulse #1 Max,0.0,2019-07-30 20:47:00
30,5,Pulse #2,0.0,2019-07-30 20:47:00
30,6,Pulse #2 Rate,0.0,2019-07-30 20:47:00
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:47:00
30,8,Pulse #2 Min,0.0,2019-07-30 20:47:00
30,9,Pulse #2 Max,0.0,2019-07-30 20:47:00
30,0,Pulse #1,0.0,2019-07-30 20:50:18
30,1,Pulse #1 Rate,0.0,2019-07-30 20:50:18
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:50:18
30,3,Pulse #1 Min,0.0,2019-07-30 20:50:18
30,4,Pulse #1 Max,0.0,2019-07-30 20:50:18
30,5,Pulse #2,0.0,2019-07-30 20:50:18
30,6,Pulse #2 Rate,0.0,2019-07-30 20:50:18
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:50:18
30,8,Pulse #2 Min,0.0,2019-07-30 20:50:18
30,9,Pulse #2 Max,0.0,2019-07-30 20:50:18
30,0,Pulse #1,0.0,2019-07-30 20:59:51
30,1,Pulse #1 Rate,0.0,2019-07-30 20:59:51
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 20:59:51
30,3,Pulse #1 Min,0.0,2019-07-30 20:59:51
30,4,Pulse #1 Max,0.0,2019-07-30 20:59:51
30,5,Pulse #2,0.0,2019-07-30 20:59:51
30,6,Pulse #2 Rate,0.0,2019-07-30 20:59:51
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 20:59:51
30,8,Pulse #2 Min,0.0,2019-07-30 20:59:51
30,9,Pulse #2 Max,0.0,2019-07-30 20:59:51
30,0,Pulse #1,0.0,2019-07-30 21:09:07
30,1,Pulse #1 Rate,0.0,2019-07-30 21:09:07
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 21:09:07
30,3,Pulse #1 Min,0.0,2019-07-30 21:09:07
30,4,Pulse #1 Max,0.0,2019-07-30 21:09:07
30,5,Pulse #2,0.0,2019-07-30 21:09:07
30,6,Pulse #2 Rate,0.0,2019-07-30 21:09:07
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 21:09:07
30,8,Pulse #2 Min,0.0,2019-07-30 21:09:07
30,9,Pulse #2 Max,0.0,2019-07-30 21:09:07
30,0,Pulse #1,0.0,2019-07-30 21:15:04
30,1,Pulse #1 Rate,0.0,2019-07-30 21:15:04
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 21:15:04
30,3,Pulse #1 Min,0.0,2019-07-30 21:15:04
30,4,Pulse #1 Max,0.0,2019-07-30 21:15:04
30,5,Pulse #2,0.0,2019-07-30 21:15:04
30,6,Pulse #2 Rate,0.0,2019-07-30 21:15:04
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 21:15:04
30,8,Pulse #2 Min,0.0,2019-07-30 21:15:04
30,9,Pulse #2 Max,0.0,2019-07-30 21:15:04
30,0,Pulse #1,0.0,2019-07-30 21:20:16
30,1,Pulse #1 Rate,0.0,2019-07-30 21:20:16
30,2,Pulse #1 Instantaneous,0.0,2019-07-30 21:20:16
30,3,Pulse #1 Min,0.0,2019-07-30 21:20:16
30,4,Pulse #1 Max,0.0,2019-07-30 21:20:16
30,5,Pulse #2,0.0,2019-07-30 21:20:16
30,6,Pulse #2 Rate,0.0,2019-07-30 21:20:16
30,7,Pulse #2 Instantaneous,0.0,2019-07-30 21:20:16
30,8,Pulse #2 Min,0.0,2019-07-30 21:20:16
30,9,Pulse #2 Max,0.0,2019-07-30 21:20:16
