Address,Point,Name,Value,Time
42,0,50 West Side Gas,2114381.0,2019-07-29 17:23:23
42,1,50 West Side Gas Rate,0.8,2019-07-29 17:23:23
42,2,50 West Side Gas Instantaneous,0.7,2019-07-29 17:23:23
42,3,50 West Side Gas Min,0.63,2019-07-29 17:23:23
42,4,50 West Side Gas Max,2.8,2019-07-29 17:23:23
42,5,Pulse #2,0.0,2019-07-29 17:23:23
42,6,Pulse #2 Rate,0.0,2019-07-29 17:23:23
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:23:23
42,8,Pulse #2 Min,0.0,2019-07-29 17:23:23
42,9,Pulse #2 Max,0.0,2019-07-29 17:23:23
42,0,50 West Side Gas,2114384.0,2019-07-29 17:30:30
42,1,50 West Side Gas Rate,0.4,2019-07-29 17:30:30
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 17:30:30
42,3,50 West Side Gas Min,0.55,2019-07-29 17:30:30
42,4,50 West Side Gas Max,0.6,2019-07-29 17:30:30
42,5,Pulse #2,0.0,2019-07-29 17:30:30
42,6,Pulse #2 Rate,0.0,2019-07-29 17:30:30
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:30:30
42,8,Pulse #2 Min,0.0,2019-07-29 17:30:30
42,9,Pulse #2 Max,0.0,2019-07-29 17:30:30
42,0,50 West Side Gas,2114387.0,2019-07-29 17:35:35
42,1,50 West Side Gas Rate,0.6,2019-07-29 17:35:35
42,2,50 West Side Gas Instantaneous,0.8,2019-07-29 17:35:35
42,3,50 West Side Gas Min,0.63,2019-07-29 17:35:35
42,4,50 West Side Gas Max,0.8,2019-07-29 17:35:35
42,5,Pulse #2,0.0,2019-07-29 17:35:35
42,6,Pulse #2 Rate,0.0,2019-07-29 17:35:35
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:35:35
42,8,Pulse #2 Min,0.0,2019-07-29 17:35:35
42,9,Pulse #2 Max,0.0,2019-07-29 17:35:35
42,0,50 West Side Gas,2114392.0,2019-07-29 17:40:44
42,1,50 West Side Gas Rate,1.0,2019-07-29 17:40:44
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 17:40:44
42,3,50 West Side Gas Min,0.59,2019-07-29 17:40:44
42,4,50 West Side Gas Max,0.6,2019-07-29 17:40:44
42,5,Pulse #2,0.0,2019-07-29 17:40:44
42,6,Pulse #2 Rate,0.0,2019-07-29 17:40:44
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:40:44
42,8,Pulse #2 Min,0.0,2019-07-29 17:40:44
42,9,Pulse #2 Max,0.0,2019-07-29 17:40:44
42,0,50 West Side Gas,2114392.0,2019-07-29 17:45:28
42,1,50 West Side Gas Rate,0.0,2019-07-29 17:45:28
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 17:45:28
42,3,50 West Side Gas Min,0.0,2019-07-29 17:45:28
42,4,50 West Side Gas Max,0.0,2019-07-29 17:45:28
42,5,Pulse #2,0.0,2019-07-29 17:45:28
42,6,Pulse #2 Rate,0.0,2019-07-29 17:45:28
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:45:28
42,8,Pulse #2 Min,0.0,2019-07-29 17:45:28
42,9,Pulse #2 Max,0.0,2019-07-29 17:45:28
42,0,50 West Side Gas,2114396.0,2019-07-29 17:50:34
42,1,50 West Side Gas Rate,0.8,2019-07-29 17:50:34
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 17:50:34
42,3,50 West Side Gas Min,0.6,2019-07-29 17:50:34
42,4,50 West Side Gas Max,0.6,2019-07-29 17:50:34
42,5,Pulse #2,0.0,2019-07-29 17:50:34
42,6,Pulse #2 Rate,0.0,2019-07-29 17:50:34
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:50:34
42,8,Pulse #2 Min,0.0,2019-07-29 17:50:34
42,9,Pulse #2 Max,0.0,2019-07-29 17:50:34
42,0,50 West Side Gas,2114398.0,2019-07-29 17:55:26
42,1,50 West Side Gas Rate,0.4,2019-07-29 17:55:26
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 17:55:26
42,3,50 West Side Gas Min,0.33,2019-07-29 17:55:26
42,4,50 West Side Gas Max,0.6,2019-07-29 17:55:26
42,5,Pulse #2,0.0,2019-07-29 17:55:26
42,6,Pulse #2 Rate,0.0,2019-07-29 17:55:26
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:55:26
42,8,Pulse #2 Min,0.0,2019-07-29 17:55:26
42,9,Pulse #2 Max,0.0,2019-07-29 17:55:26
42,0,50 West Side Gas,2114401.0,2019-07-29 18:00:31
42,1,50 West Side Gas Rate,0.6,2019-07-29 18:00:31
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 18:00:31
42,3,50 West Side Gas Min,0.56,2019-07-29 18:00:31
42,4,50 West Side Gas Max,0.6,2019-07-29 18:00:31
42,5,Pulse #2,0.0,2019-07-29 18:00:31
42,6,Pulse #2 Rate,0.0,2019-07-29 18:00:31
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:00:31
42,8,Pulse #2 Min,0.0,2019-07-29 18:00:31
42,9,Pulse #2 Max,0.0,2019-07-29 18:00:31
42,0,50 West Side Gas,2114406.0,2019-07-29 18:05:34
42,1,50 West Side Gas Rate,1.0,2019-07-29 18:05:34
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 18:05:34
42,3,50 West Side Gas Min,0.58,2019-07-29 18:05:34
42,4,50 West Side Gas Max,0.6,2019-07-29 18:05:34
42,5,Pulse #2,0.0,2019-07-29 18:05:34
42,6,Pulse #2 Rate,0.0,2019-07-29 18:05:34
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:05:34
42,8,Pulse #2 Min,0.0,2019-07-29 18:05:34
42,9,Pulse #2 Max,0.0,2019-07-29 18:05:34
42,0,50 West Side Gas,2114406.0,2019-07-29 18:10:39
42,1,50 West Side Gas Rate,0.0,2019-07-29 18:10:39
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 18:10:39
42,3,50 West Side Gas Min,0.0,2019-07-29 18:10:39
42,4,50 West Side Gas Max,0.0,2019-07-29 18:10:39
42,5,Pulse #2,0.0,2019-07-29 18:10:39
42,6,Pulse #2 Rate,0.0,2019-07-29 18:10:39
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:10:39
42,8,Pulse #2 Min,0.0,2019-07-29 18:10:39
42,9,Pulse #2 Max,0.0,2019-07-29 18:10:39
42,0,50 West Side Gas,2114406.0,2019-07-29 18:15:44
42,1,50 West Side Gas Rate,0.0,2019-07-29 18:15:44
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 18:15:44
42,3,50 West Side Gas Min,0.0,2019-07-29 18:15:44
42,4,50 West Side Gas Max,0.0,2019-07-29 18:15:44
42,5,Pulse #2,0.0,2019-07-29 18:15:44
42,6,Pulse #2 Rate,0.0,2019-07-29 18:15:44
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:15:44
42,8,Pulse #2 Min,0.0,2019-07-29 18:15:44
42,9,Pulse #2 Max,0.0,2019-07-29 18:15:44
42,0,50 West Side Gas,2114406.0,2019-07-29 18:20:41
42,1,50 West Side Gas Rate,0.0,2019-07-29 18:20:41
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 18:20:41
42,3,50 West Side Gas Min,0.0,2019-07-29 18:20:41
42,4,50 West Side Gas Max,0.0,2019-07-29 18:20:41
42,5,Pulse #2,0.0,2019-07-29 18:20:41
42,6,Pulse #2 Rate,0.0,2019-07-29 18:20:41
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:20:41
42,8,Pulse #2 Min,0.0,2019-07-29 18:20:41
42,9,Pulse #2 Max,0.0,2019-07-29 18:20:41
42,0,50 West Side Gas,2114406.0,2019-07-29 18:25:26
42,1,50 West Side Gas Rate,0.0,2019-07-29 18:25:26
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 18:25:26
42,3,50 West Side Gas Min,0.0,2019-07-29 18:25:26
42,4,50 West Side Gas Max,0.0,2019-07-29 18:25:26
42,5,Pulse #2,0.0,2019-07-29 18:25:26
42,6,Pulse #2 Rate,0.0,2019-07-29 18:25:26
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:25:26
42,8,Pulse #2 Min,0.0,2019-07-29 18:25:26
42,9,Pulse #2 Max,0.0,2019-07-29 18:25:26
42,0,50 West Side Gas,2114410.0,2019-07-29 18:30:17
42,1,50 West Side Gas Rate,0.8,2019-07-29 18:30:17
42,2,50 West Side Gas Instantaneous,0.2,2019-07-29 18:30:17
42,3,50 West Side Gas Min,0.2,2019-07-29 18:30:17
42,4,50 West Side Gas Max,0.2,2019-07-29 18:30:17
42,5,Pulse #2,0.0,2019-07-29 18:30:17
42,6,Pulse #2 Rate,0.0,2019-07-29 18:30:17
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:30:17
42,8,Pulse #2 Min,0.0,2019-07-29 18:30:17
42,9,Pulse #2 Max,0.0,2019-07-29 18:30:17
42,0,50 West Side Gas,2114414.0,2019-07-29 18:35:40
42,1,50 West Side Gas Rate,0.7,2019-07-29 18:35:40
42,2,50 West Side Gas Instantaneous,1.5,2019-07-29 18:35:40
42,3,50 West Side Gas Min,0.2,2019-07-29 18:35:40
42,4,50 West Side Gas Max,1.5,2019-07-29 18:35:40
42,5,Pulse #2,0.0,2019-07-29 18:35:40
42,6,Pulse #2 Rate,0.0,2019-07-29 18:35:40
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:35:40
42,8,Pulse #2 Min,0.0,2019-07-29 18:35:40
42,9,Pulse #2 Max,0.0,2019-07-29 18:35:40
42,0,50 West Side Gas,2114419.0,2019-07-29 18:40:40
42,1,50 West Side Gas Rate,1.0,2019-07-29 18:40:40
42,2,50 West Side Gas Instantaneous,0.8,2019-07-29 18:40:40
42,3,50 West Side Gas Min,0.67,2019-07-29 18:40:40
42,4,50 West Side Gas Max,0.8,2019-07-29 18:40:40
42,5,Pulse #2,0.0,2019-07-29 18:40:40
42,6,Pulse #2 Rate,0.0,2019-07-29 18:40:40
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:40:40
42,8,Pulse #2 Min,0.0,2019-07-29 18:40:40
42,9,Pulse #2 Max,0.0,2019-07-29 18:40:40
42,0,50 West Side Gas,2114419.0,2019-07-29 18:45:45
42,1,50 West Side Gas Rate,0.0,2019-07-29 18:45:45
42,2,50 West Side Gas Instantaneous,0.0,2019-07-29 18:45:45
42,3,50 West Side Gas Min,0.0,2019-07-29 18:45:45
42,4,50 West Side Gas Max,0.0,2019-07-29 18:45:45
42,5,Pulse #2,0.0,2019-07-29 18:45:45
42,6,Pulse #2 Rate,0.0,2019-07-29 18:45:45
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:45:45
42,8,Pulse #2 Min,0.0,2019-07-29 18:45:45
42,9,Pulse #2 Max,0.0,2019-07-29 18:45:45
42,0,50 West Side Gas,2114423.0,2019-07-29 18:53:16
42,1,50 West Side Gas Rate,0.5,2019-07-29 18:53:16
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 18:53:16
42,3,50 West Side Gas Min,0.57,2019-07-29 18:53:16
42,4,50 West Side Gas Max,0.6,2019-07-29 18:53:16
42,5,Pulse #2,0.0,2019-07-29 18:53:16
42,6,Pulse #2 Rate,0.0,2019-07-29 18:53:16
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:53:16
42,8,Pulse #2 Min,0.0,2019-07-29 18:53:16
42,9,Pulse #2 Max,0.0,2019-07-29 18:53:16
42,0,50 West Side Gas,2114428.0,2019-07-29 18:55:49
42,1,50 West Side Gas Rate,2.0,2019-07-29 18:55:49
42,2,50 West Side Gas Instantaneous,0.6,2019-07-29 18:55:49
42,3,50 West Side Gas Min,0.32,2019-07-29 18:55:49
42,4,50 West Side Gas Max,0.6,2019-07-29 18:55:49
42,5,Pulse #2,0.0,2019-07-29 18:55:49
42,6,Pulse #2 Rate,0.0,2019-07-29 18:55:49
42,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:55:49
42,8,Pulse #2 Min,0.0,2019-07-29 18:55:49
42,9,Pulse #2 Max,0.0,2019-07-29 18:55:49
