Address,Point,Name,Value,Time
37,0,CT Drain,25423.0,2019-07-29 17:25:30
37,1,CT Drain Ave Rate,0.102,2019-07-29 17:25:30
37,2,CT Drain Instantaneous,0.041,2019-07-29 17:25:30
37,3,CT Drain Min,0.041,2019-07-29 17:25:30
37,4,CT Drain Max,0.041,2019-07-29 17:25:30
37,5,CT4 Makeup,1546.0,2019-07-29 17:25:30
37,6,CT4 Makeup Ave Rate,0.0,2019-07-29 17:25:30
37,10,CT5 Makeup,999878.0,2019-07-29 17:25:30
37,11,CT5 Makeup Ave Rate,0.407,2019-07-29 17:25:30
37,12,CT5 Makeup Instantaneous,0.413,2019-07-29 17:25:30
37,13,CT5 Makeup Min,0.138,2019-07-29 17:25:30
37,14,CT5 Makeup Max,0.413,2019-07-29 17:25:30
37,2,CT Drain Instantaneous,0.040999999999999995,2019-07-29 17:25:30
37,3,CT Drain Min,0.040999999999999995,2019-07-29 17:25:30
37,4,CT Drain Max,0.040999999999999995,2019-07-29 17:25:30
37,11,CT5 Makeup Ave Rate,0.40700000000000003,2019-07-29 17:25:30
37,15,CT Makeup From B50,14398.0,2019-07-29 17:25:30
37,16,CT Makeup From B50 Ave Rate,0.0,2019-07-29 17:25:30
37,40,Output 01,0.0,2019-07-29 17:25:30
37,41,Output 02,0.0,2019-07-29 17:25:30
37,0,CT Drain,25423.0,2019-07-29 17:32:30
37,1,CT Drain Ave Rate,0.0,2019-07-29 17:32:30
37,5,CT4 Makeup,1546.0,2019-07-29 17:32:30
37,6,CT4 Makeup Ave Rate,0.0,2019-07-29 17:32:30
37,10,CT5 Makeup,999881.0,2019-07-29 17:32:30
37,11,CT5 Makeup Ave Rate,0.429,2019-07-29 17:32:30
37,12,CT5 Makeup Instantaneous,0.409,2019-07-29 17:32:30
37,13,CT5 Makeup Min,0.409,2019-07-29 17:32:30
37,14,CT5 Makeup Max,0.41,2019-07-29 17:32:30
37,15,CT Makeup From B50,14398.0,2019-07-29 17:32:30
37,16,CT Makeup From B50 Ave Rate,0.0,2019-07-29 17:32:30
37,40,Output 01,0.0,2019-07-29 17:32:30
37,41,Output 02,0.0,2019-07-29 17:32:30
37,0,CT Drain,25423.0,2019-07-29 17:36:51
37,1,CT Drain Ave Rate,0.0,2019-07-29 17:36:51
37,5,CT4 Makeup,1546.0,2019-07-29 17:36:51
37,6,CT4 Makeup Ave Rate,0.0,2019-07-29 17:36:51
37,10,CT5 Makeup,999883.0,2019-07-29 17:36:51
37,11,CT5 Makeup Ave Rate,0.46,2019-07-29 17:36:51
37,12,CT5 Makeup Instantaneous,0.412,2019-07-29 17:36:51
37,13,CT5 Makeup Min,0.41,2019-07-29 17:36:51
