Address,Point,Name,Value,Time
31,5,Input 2,0.1,2019-07-30 17:51:21
31,6,Input 2 Ave,0.1,2019-07-30 17:51:21
31,7,Input 2 Min,0.1,2019-07-30 17:51:21
31,8,Input 2 Max,0.1,2019-07-30 17:51:21
31,40,Output 01,0.0,2019-07-30 17:51:21
31,41,Output 02,0.0,2019-07-30 17:51:21
31,5,Input 2,0.1,2019-07-30 17:56:42
31,6,Input 2 Ave,0.1,2019-07-30 17:56:42
31,7,Input 2 Min,0.1,2019-07-30 17:56:42
31,8,Input 2 Max,0.1,2019-07-30 17:56:42
31,40,Output 01,0.0,2019-07-30 17:56:42
31,41,Output 02,0.0,2019-07-30 17:56:42
31,5,Input 2,0.1,2019-07-30 18:01:22
31,6,Input 2 Ave,0.1,2019-07-30 18:01:22
31,7,Input 2 Min,0.1,2019-07-30 18:01:22
31,8,Input 2 Max,0.1,2019-07-30 18:01:22
31,40,Output 01,0.0,2019-07-30 18:01:22
31,41,Output 02,0.0,2019-07-30 18:01:22
31,5,Input 2,0.1,2019-07-30 18:05:17
31,6,Input 2 Ave,0.1,2019-07-30 18:05:17
31,7,Input 2 Min,0.1,2019-07-30 18:05:17
31,8,Input 2 Max,0.1,2019-07-30 18:05:17
31,40,Output 01,0.0,2019-07-30 18:05:17
31,41,Output 02,0.0,2019-07-30 18:05:17
31,5,Input 2,0.1,2019-07-30 18:10:14
31,6,Input 2 Ave,0.1,2019-07-30 18:10:14
31,7,Input 2 Min,0.1,2019-07-30 18:10:14
31,8,Input 2 Max,0.1,2019-07-30 18:10:14
31,40,Output 01,0.0,2019-07-30 18:10:14
31,41,Output 02,0.0,2019-07-30 18:10:14
31,5,Input 2,0.1,2019-07-30 18:19:34
31,6,Input 2 Ave,0.1,2019-07-30 18:19:34
31,7,Input 2 Min,0.1,2019-07-30 18:19:34
31,8,Input 2 Max,0.1,2019-07-30 18:19:34
31,40,Output 01,0.0,2019-07-30 18:19:34
31,41,Output 02,0.0,2019-07-30 18:19:34
31,5,Input 2,0.1,2019-07-30 18:26:25
31,6,Input 2 Ave,0.1,2019-07-30 18:26:25
31,7,Input 2 Min,0.1,2019-07-30 18:26:25
31,8,Input 2 Max,0.1,2019-07-30 18:26:25
31,40,Output 01,0.0,2019-07-30 18:26:25
31,41,Output 02,0.0,2019-07-30 18:26:25
31,5,Input 2,0.1,2019-07-30 18:33:53
31,6,Input 2 Ave,0.1,2019-07-30 18:33:53
31,7,Input 2 Min,0.1,2019-07-30 18:33:53
31,8,Input 2 Max,0.1,2019-07-30 18:33:53
31,40,Output 01,0.0,2019-07-30 18:33:53
31,41,Output 02,0.0,2019-07-30 18:33:53
31,5,Input 2,0.1,2019-07-30 18:41:55
31,6,Input 2 Ave,0.1,2019-07-30 18:41:55
31,7,Input 2 Min,0.1,2019-07-30 18:41:55
31,8,Input 2 Max,0.1,2019-07-30 18:41:55
31,40,Output 01,0.0,2019-07-30 18:41:55
31,41,Output 02,0.0,2019-07-30 18:41:55
31,5,Input 2,0.1,2019-07-30 18:47:03
31,6,Input 2 Ave,0.1,2019-07-30 18:47:03
31,7,Input 2 Min,0.1,2019-07-30 18:47:03
31,8,Input 2 Max,0.1,2019-07-30 18:47:03
31,40,Output 01,0.0,2019-07-30 18:47:03
31,41,Output 02,0.0,2019-07-30 18:47:03
31,5,Input 2,0.1,2019-07-30 18:58:04
31,6,Input 2 Ave,0.1,2019-07-30 18:58:04
31,7,Input 2 Min,0.1,2019-07-30 18:58:04
31,8,Input 2 Max,0.1,2019-07-30 18:58:04
31,40,Output 01,0.0,2019-07-30 18:58:04
31,41,Output 02,0.0,2019-07-30 18:58:04
31,5,Input 2,0.1,2019-07-30 19:02:01
31,6,Input 2 Ave,0.1,2019-07-30 19:02:01
31,7,Input 2 Min,0.1,2019-07-30 19:02:01
31,8,Input 2 Max,0.1,2019-07-30 19:02:01
31,40,Output 01,0.0,2019-07-30 19:02:01
31,41,Output 02,0.0,2019-07-30 19:02:01
31,5,Input 2,0.1,2019-07-30 19:13:11
31,6,Input 2 Ave,0.1,2019-07-30 19:13:11
31,7,Input 2 Min,0.1,2019-07-30 19:13:11
31,8,Input 2 Max,0.1,2019-07-30 19:13:11
31,40,Output 01,0.0,2019-07-30 19:13:11
31,41,Output 02,0.0,2019-07-30 19:13:11
31,5,Input 2,0.1,2019-07-30 19:22:33
31,6,Input 2 Ave,0.1,2019-07-30 19:22:33
31,7,Input 2 Min,0.1,2019-07-30 19:22:33
