Address,Point,Name,Value,Time,Custom
042,00,50 West Side Gas,2116238,2019-08-01 17:25:54,50A-West-Gas
042,00,50 West Side Gas,2116256,2019-08-01 17:34:51,50A-West-Gas
042,00,50 West Side Gas,2116271,2019-08-01 17:44:11,50A-West-Gas
042,00,50 West Side Gas,2116275,2019-08-01 17:50:25,50A-West-Gas
042,00,50 West Side Gas,2116279,2019-08-01 17:55:26,50A-West-Gas
042,00,50 West Side Gas,2116288,2019-08-01 18:01:05,50A-West-Gas
042,00,50 West Side Gas,2116297,2019-08-01 18:05:55,50A-West-Gas
042,00,50 West Side Gas,2116327,2019-08-01 18:31:21,50A-West-Gas
042,00,50 West Side Gas,2116335,2019-08-01 18:35:32,50A-West-Gas
042,00,50 West Side Gas,2116349,2019-08-01 18:40:38,50A-West-Gas
042,00,50 West Side Gas,2116350,2019-08-01 18:49:33,50A-West-Gas
042,00,50 West Side Gas,2116350,2019-08-01 18:55:51,50A-West-Gas
042,00,50 West Side Gas,2116350,2019-08-01 19:00:38,50A-West-Gas
042,00,50 West Side Gas,2116362,2019-08-01 19:08:33,50A-West-Gas
042,00,50 West Side Gas,2116367,2019-08-01 19:10:22,50A-West-Gas
042,00,50 West Side Gas,2116369,2019-08-01 19:15:39,50A-West-Gas
042,00,50 West Side Gas,2116369,2019-08-01 19:29:51,50A-West-Gas
042,00,50 West Side Gas,2116374,2019-08-01 19:37:18,50A-West-Gas
042,00,50 West Side Gas,2116381,2019-08-01 19:40:56,50A-West-Gas
042,00,50 West Side Gas,2116383,2019-08-01 19:45:47,50A-West-Gas
042,00,50 West Side Gas,2116383,2019-08-01 19:50:44,50A-West-Gas
042,00,50 West Side Gas,2116383,2019-08-01 19:56:08,50A-West-Gas
042,00,50 West Side Gas,2116383,2019-08-01 20:03:12,50A-West-Gas
042,00,50 West Side Gas,2116383,2019-08-01 20:05:38,50A-West-Gas
