Address,Point,Name,Value,Time,Custom
034,05,CT4 Blowdown,15377,2019-08-01 17:47:31,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 17:50:20,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 17:55:08,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:00:33,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:26:02,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:32:41,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:37:13,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:42:41,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:49:19,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 18:58:32,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:02:40,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:07:59,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:11:58,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:16:57,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:30:43,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:36:38,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:42:13,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:45:32,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:53:16,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 19:55:39,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:02:26,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:05:17,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:13:16,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:17:54,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:27:10,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:33:20,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:37:33,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:40:21,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:46:39,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:51:45,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 20:55:53,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 21:04:27,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 21:11:52,71 CT-4 Blowdown
034,05,CT4 Blowdown,15377,2019-08-01 21:17:23,71 CT-4 Blowdown
