Address,Point,Name,Value,Time
28,0,TRW Makeup Water,3.0,2019-07-29 17:32:35
28,5,Pulse #2,1.0,2019-07-29 17:32:35
28,0,TRW Makeup Water,3.0,2019-07-29 17:37:25
28,1,TRW Makeup Water Rate,0.0,2019-07-29 17:37:25
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 17:37:25
28,3,TRW Makeup Water Min,0.0,2019-07-29 17:37:25
28,4,TRW Makeup Water Max,0.0,2019-07-29 17:37:25
28,5,Pulse #2,1.0,2019-07-29 17:37:25
28,6,Pulse #2 Rate,0.0,2019-07-29 17:37:25
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:37:25
28,8,Pulse #2 Min,0.0,2019-07-29 17:37:25
28,9,Pulse #2 Max,0.0,2019-07-29 17:37:25
28,0,TRW Makeup Water,3.0,2019-07-29 17:41:19
28,1,TRW Makeup Water Rate,0.0,2019-07-29 17:41:19
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 17:41:19
28,3,TRW Makeup Water Min,0.0,2019-07-29 17:41:19
28,4,TRW Makeup Water Max,0.0,2019-07-29 17:41:19
28,5,Pulse #2,1.0,2019-07-29 17:41:19
28,6,Pulse #2 Rate,0.0,2019-07-29 17:41:19
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:41:19
28,8,Pulse #2 Min,0.0,2019-07-29 17:41:19
28,9,Pulse #2 Max,0.0,2019-07-29 17:41:19
28,0,TRW Makeup Water,3.0,2019-07-29 17:45:51
28,1,TRW Makeup Water Rate,0.0,2019-07-29 17:45:51
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 17:45:51
28,3,TRW Makeup Water Min,0.0,2019-07-29 17:45:51
28,4,TRW Makeup Water Max,0.0,2019-07-29 17:45:51
28,5,Pulse #2,1.0,2019-07-29 17:45:51
28,6,Pulse #2 Rate,0.0,2019-07-29 17:45:51
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 17:45:51
28,8,Pulse #2 Min,0.0,2019-07-29 17:45:51
28,9,Pulse #2 Max,0.0,2019-07-29 17:45:51
28,0,TRW Makeup Water,3.0,2019-07-29 18:00:49
28,5,Pulse #2,1.0,2019-07-29 18:00:49
28,0,TRW Makeup Water,3.0,2019-07-29 18:11:22
28,5,Pulse #2,1.0,2019-07-29 18:11:22
28,0,TRW Makeup Water,3.0,2019-07-29 18:16:21
28,1,TRW Makeup Water Rate,0.0,2019-07-29 18:16:21
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 18:16:21
28,3,TRW Makeup Water Min,0.0,2019-07-29 18:16:21
28,4,TRW Makeup Water Max,0.0,2019-07-29 18:16:21
28,5,Pulse #2,1.0,2019-07-29 18:16:21
28,6,Pulse #2 Rate,0.0,2019-07-29 18:16:21
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:16:21
28,8,Pulse #2 Min,0.0,2019-07-29 18:16:21
28,9,Pulse #2 Max,0.0,2019-07-29 18:16:21
28,0,TRW Makeup Water,3.0,2019-07-29 18:32:56
28,5,Pulse #2,1.0,2019-07-29 18:32:56
28,0,TRW Makeup Water,3.0,2019-07-29 18:38:14
28,1,TRW Makeup Water Rate,0.0,2019-07-29 18:38:14
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 18:38:14
28,3,TRW Makeup Water Min,0.0,2019-07-29 18:38:14
28,4,TRW Makeup Water Max,0.0,2019-07-29 18:38:14
28,5,Pulse #2,1.0,2019-07-29 18:38:14
28,6,Pulse #2 Rate,0.0,2019-07-29 18:38:14
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:38:14
28,8,Pulse #2 Min,0.0,2019-07-29 18:38:14
28,9,Pulse #2 Max,0.0,2019-07-29 18:38:14
28,0,TRW Makeup Water,3.0,2019-07-29 18:43:08
28,1,TRW Makeup Water Rate,0.0,2019-07-29 18:43:08
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 18:43:08
28,3,TRW Makeup Water Min,0.0,2019-07-29 18:43:08
28,4,TRW Makeup Water Max,0.0,2019-07-29 18:43:08
28,5,Pulse #2,1.0,2019-07-29 18:43:08
28,6,Pulse #2 Rate,0.0,2019-07-29 18:43:08
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:43:08
28,8,Pulse #2 Min,0.0,2019-07-29 18:43:08
28,9,Pulse #2 Max,0.0,2019-07-29 18:43:08
28,0,TRW Makeup Water,3.0,2019-07-29 18:46:09
28,1,TRW Makeup Water Rate,0.0,2019-07-29 18:46:09
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 18:46:09
28,3,TRW Makeup Water Min,0.0,2019-07-29 18:46:09
28,4,TRW Makeup Water Max,0.0,2019-07-29 18:46:09
28,5,Pulse #2,1.0,2019-07-29 18:46:09
28,6,Pulse #2 Rate,0.0,2019-07-29 18:46:09
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:46:09
28,8,Pulse #2 Min,0.0,2019-07-29 18:46:09
28,9,Pulse #2 Max,0.0,2019-07-29 18:46:09
28,0,TRW Makeup Water,3.0,2019-07-29 18:51:56
28,1,TRW Makeup Water Rate,0.0,2019-07-29 18:51:56
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 18:51:56
28,3,TRW Makeup Water Min,0.0,2019-07-29 18:51:56
28,4,TRW Makeup Water Max,0.0,2019-07-29 18:51:56
28,5,Pulse #2,1.0,2019-07-29 18:51:56
28,6,Pulse #2 Rate,0.0,2019-07-29 18:51:56
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 18:51:56
28,8,Pulse #2 Min,0.0,2019-07-29 18:51:56
28,9,Pulse #2 Max,0.0,2019-07-29 18:51:56
28,0,TRW Makeup Water,3.0,2019-07-29 19:08:03
28,5,Pulse #2,1.0,2019-07-29 19:08:03
28,0,TRW Makeup Water,3.0,2019-07-29 19:32:04
28,5,Pulse #2,1.0,2019-07-29 19:32:04
28,0,TRW Makeup Water,3.0,2019-07-29 19:40:27
28,1,TRW Makeup Water Rate,0.0,2019-07-29 19:40:27
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 19:40:27
28,3,TRW Makeup Water Min,0.0,2019-07-29 19:40:27
28,4,TRW Makeup Water Max,0.0,2019-07-29 19:40:27
28,5,Pulse #2,1.0,2019-07-29 19:40:27
28,6,Pulse #2 Rate,0.0,2019-07-29 19:40:27
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 19:40:27
28,8,Pulse #2 Min,0.0,2019-07-29 19:40:27
28,9,Pulse #2 Max,0.0,2019-07-29 19:40:27
28,0,TRW Makeup Water,3.0,2019-07-29 19:45:49
28,1,TRW Makeup Water Rate,0.0,2019-07-29 19:45:49
28,2,TRW Makeup Water Instantaneous,0.0,2019-07-29 19:45:49
28,3,TRW Makeup Water Min,0.0,2019-07-29 19:45:49
28,4,TRW Makeup Water Max,0.0,2019-07-29 19:45:49
28,5,Pulse #2,1.0,2019-07-29 19:45:49
28,6,Pulse #2 Rate,0.0,2019-07-29 19:45:49
28,7,Pulse #2 Instantaneous,0.0,2019-07-29 19:45:49
28,8,Pulse #2 Min,0.0,2019-07-29 19:45:49
